,Feature,RFE_Ranking
3,arr_change,1
1,current_arr,2
41,months_since_last_upsell,3
2,future_arr,4
35,total_arr,5
49,active_agents,6
36,log_total_arr,7
0,account_id,8
54,active_agents_M_before,9
37,crm_arr,10
150,num_contacts,11
132,num_total_tags,12
44,max_agents,13
42,months_since_last_downsell,14
130,num_views,15
158,agent_productivity,16
89,months_since_high_sev_outage,17
128,num_triggers,18
65,is_provisioned_any_channel_M_before,19
126,num_macros,20
45,log_max_agents,21
71,solved_tickets_M_before,22
62,is_provisioned_any_channel,23
13,customer_age_quarters,24
134,num_app_installs,25
120,num_orgs,26
43,late_payments,27
53,log_num_comments,28
63,max_seats,29
109,num_custom_ticket_fields,30
77,new_tickets,31
34,acct_intent_score_6sense,32
70,new_tickets_M_before,33
152,seat_utilization,34
20,cohort_customer_win_month,35
69,solved_tickets,36
50,num_actions,37
52,log_num_actions,38
66,max_seats_M_before,39
51,num_comments,40
153,seat_utilization_M_before,41
16,product_counts,42
146,end_user_csat_response_rate,43
21,cohort_customer_win_year,44
124,num_automations,45
116,num_user_fields,46
92,max_tickets_per_agent,47
84,avg_nps_rating_all_time,48
80,csat_response_rate,49
114,num_ticket_forms,50
145,end_user_csat,51
86,num_low_sev_outages,52
147,number_widgets,53
151,ticket_deflection_rate,54
98,new_kb_views,55
10,region_apac,56
18,is_crm_product_mix_paid_support_only,57
6,segment_commercial,58
90,num_tickets_deflected,59
118,num_org_fields,60
22,discount_arr_usd,61
24,pro_plus,62
47,log_max_agents_diff,63
159,agent_productivity_diff,64
94,total_hc_views,65
95,total_hc_views_M_before,66
156,self_service_ratio,67
64,agent_utilization,68
73,new_ticket_diff,69
112,num_sla_policies,70
171,agent_seat_and_ticket_ordinal,71
75,log_new_ticket_diff,72
32,crm_touchpoints,73
56,num_comments_diff,74
57,log_num_actions_diff,75
72,solved_ticket_diff,76
82,nps_score_all_time,77
14,sales_assisted,78
157,self_service_ratio_diff,79
4,segment_smb,80
170,high_seat_and_ticket_ordinal,81
74,log_solved_ticket_diff,82
46,max_agents_diff,83
55,num_actions_diff,84
104,no_hc_last_30D,85
133,tags_engaged,86
12,region_amer,87
58,log_num_comments_diff,88
91,num_tickets_deflected_percentage,89
79,csat_score,90
103,no_hc,91
117,user_fields_engaged,92
9,region_emea,93
127,macros_engaged,94
48,max_agents_percentage,95
167,is_csat_response_rate_above_benchmark,96
93,max_tickets_per_agent_percentage,97
119,org_fields_engaged,98
106,business_hours_enabled,99
5,segment_non_smb,100
99,new_kb_views_percentage,101
100,new_total_searches,102
78,new_tickets_percentage,103
60,num_comments_percentage,104
11,region_latam,105
122,targets_engaged,106
107,csat_enabled,107
121,orgs_engaged,108
59,num_actions_percentage,109
161,is_solved_tickets_above_benchmark,110
160,is_ssr_above_benchmark,111
76,solved_tickets_percentage,112
83,avg_nps_rating,113
166,is_csat_above_benchmark,114
105,multi_hc,115
23,team_plus,116
25,ent_plus,117
40,paid_guide,118
129,triggers_engaged,119
165,is_mode_ticket_touches_above_benchmark,120
113,sla_policies_engaged,121
131,views_engaged,122
101,new_total_searches_percentage,123
97,recent_kb_articles,124
87,num_high_sev_outages,125
162,is_new_tickets_above_benchmark,126
110,custom_ticket_fields_engaged,127
111,custom_ticket_fields_increase,128
115,ticket_forms_engaged,129
88,has_high_sev_outage,130
168,is_end_user_csat_above_benchmark,131
164,is_resolution_time_above_benchmark,132
81,nps_score,133
61,has_light_agents,134
33,crm_event_touchpoints,135
68,agent_utilization_decrease,136
7,segment_enterprise,137
8,segment_midmarket,138
163,is_reply_time_above_benchmark,139
169,is_end_user_csat_response_rate_above_benchmark,140
38,paid_chat,141
39,paid_talk,142
155,seat_utilization_decrease,143
85,outreach_call_90dayflag,144
154,seat_utilization_increase,145
136,agent_workspace_flag,146
67,agent_utilization_increase,147
139,cts_activated_prod,148
102,hc_increase,149
96,community_active,150
140,cts_adopted_prod,151
123,targets_increased,152
149,number_widgets_percentage,153
17,billing_dunning_not_ok,154
137,messaging_adopted,155
141,cts_activated_sandbox,156
148,number_widgets_diff,157
142,cts_adopted_sandbox,158
144,group_slas_adopted,159
143,group_slas_activated,160
138,ocr_enabled,161
125,customer_lists_increased,162
108,csat_enabled_change,163
135,custom_layout_adopted,164
19,crm_success_owner_change,165
28,crm_is_agent_months_M_before,166
27,total_pool_max_agents,167
29,max_agents_remaining,168
26,is_use_case_IT,169
30,max_activated_agents_to_date,170
31,crm_is_agent_months,171
15,legacy_flag,172
